Ontology;Uri
saref;https://saref.etsi.org/core/
saref4syst;https://saref.etsi.org/saref4syst/
saref4ener;https://saref.etsi.org/saref4ener/
saref4envi;https://saref.etsi.org/saref4envi/
saref4bldg;https://saref.etsi.org/saref4bldg/
saref4city;https://saref.etsi.org/saref4city/
saref4inma;https://saref.etsi.org/saref4inma/
saref4agri;https://saref.etsi.org/saref4agri/
saref4auto;https://saref.etsi.org/saref4auto/
saref4ehaw;https://saref.etsi.org/saref4ehaw/
saref4wear;https://saref.etsi.org/saref4wear/
saref4watr;https://saref.etsi.org/saref4watr/
saref4lift;https://saref.etsi.org/saref4lift/
saref4grid;https://saref.etsi.org/saref4grid/
